year,accidents,deaths,non_collision_accidents,collision_with_other_vehicles,collision_with_pede,collision_with_fixedobjs,all_vehicles,private_commercial_vehicles
1980,17900000,53200000,0,23000000,9700000,0,0
1985,19300000,45900000,0,19900000,8500000,0,0
1990,11500000,46800000,4900000,19900000,7300000,13100000,0,0
1995,10700000,43400000,4400000,19000000,6400000,12100000,188798000,185541000
1996,11200000,43600000,4600000,19600000,6100000,12100000,201530000,197941000
1997,13800000,43500000,4400000,19900000,5900000,12000000,0,0
1998,12700000,43500000,4600000,19700000,5900000,12200000,0,0
1999,11400000,42400000,4700000,18600000,6100000,11800000,0,0
2000,13400000,43400000,4800000,19100000,5900000,12300000,0,0
2001,12500000,43800000,4900000,18800000,6100000,12800000,221475000,217567000
2002,18300000,45400000,5300000,19200000,6100000,13600000,230428000,226646000
2003,11800000,44100000,5100000,19800000,5700000,12400000,229620000,225772000
2004,10900000,44900000,5100000,19600000,6000000,13000000,231390000,227476000
2005,10700000,45300000,5300000,19000000,6100000,13600000,237243000,233266000
2006,10400000,45300000,5400000,18500000,6200000,13900000,241194000,237140000
2007,10600000,43900000,5200000,17700000,6000000,13800000,244166000,240059000
2008,10200000,39700000,4500000,15400000,5700000,12900000,247265000,243094000
2009,10800000,35900000,4000000,13900000,5300000,11600000,248165000,243953000